,State,Year,Quater,Brand,Brand_count,Brand_percentage
81,andaman-&-nicobar-islands,2019,4,Realme,1329,0.0511941
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.0432974
83,andaman-&-nicobar-islands,2019,4,Huawei,798,0.0307396
84,andaman-&-nicobar-islands,2019,4,Motorola,682,0.0262712
85,andaman-&-nicobar-islands,2019,4,Apple,678,0.0261171
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,0.0187982
87,andaman-&-nicobar-islands,2019,4,Others,2183,0.0840909
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207276
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,0.0901368
92,andaman-&-nicobar-islands,2020,1,Realme,1511,0.0532642
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.0417372
94,andaman-&-nicobar-islands,2020,1,Huawei,891,0.0314086
95,andaman-&-nicobar-islands,2020,1,Apple,735,0.0259095
96,andaman-&-nicobar-islands,2020,1,Motorola,715,0.0252045
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,0.0176255
98,andaman-&-nicobar-islands,2020,1,Others,2257,0.0795615
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217732
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,0.0909813
103,andaman-&-nicobar-islands,2020,2,Realme,1761,0.0538367
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.0388566
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,0.0307245
106,andaman-&-nicobar-islands,2020,2,Apple,792,0.0242128
107,andaman-&-nicobar-islands,2020,2,Motorola,779,0.0238153
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,0.0168756
109,andaman-&-nicobar-islands,2020,2,Others,2617,0.0800061
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,0.183186
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,0.0902383
114,andaman-&-nicobar-islands,2020,3,Realme,2285,0.05528
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.0348373
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,0.0293456
117,andaman-&-nicobar-islands,2020,3,Motorola,907,0.0219427
118,andaman-&-nicobar-islands,2020,3,Apple,870,0.0210475
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,0.0146607
120,andaman-&-nicobar-islands,2020,3,Others,3362,0.0813354
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.236621
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234274
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,0.189671
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,0.0901405
125,andaman-&-nicobar-islands,2020,4,Realme,2996,0.0571799
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.0312619
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,0.0280937
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,0.0196962
129,andaman-&-nicobar-islands,2020,4,Apple,973,0.0185701
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,0.0135125
131,andaman-&-nicobar-islands,2020,4,Others,4243,0.0809795
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,0.239136
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237439
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,0.188043
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,0.0893036
136,andaman-&-nicobar-islands,2021,1,Realme,3419,0.0591953
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,0.0272689
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,0.0183871
140,andaman-&-nicobar-islands,2021,1,Apple,1056,0.0182832
141,andaman-&-nicobar-islands,2021,1,Tecno,796,0.0137816
142,andaman-&-nicobar-islands,2021,1,Others,4532,0.0784653
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,0.242467
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.238151
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184814
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,0.0878654
147,andaman-&-nicobar-islands,2021,2,Realme,4034,0.064965
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.0319027
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,0.0251067
150,andaman-&-nicobar-islands,2021,2,Apple,1153,0.0185683
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016974
152,andaman-&-nicobar-islands,2021,2,Tecno,974,0.0156856
153,andaman-&-nicobar-islands,2021,2,Others,4564,0.0735003
154,andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006
155,andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.237945
156,andaman-&-nicobar-islands,2021,3,Samsung,12028,0.179571
157,andaman-&-nicobar-islands,2021,3,Oppo,5853,0.0873817
158,andaman-&-nicobar-islands,2021,3,Realme,4808,0.0717805
159,andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.0344272
160,andaman-&-nicobar-islands,2021,3,Huawei,1567,0.0233943
161,andaman-&-nicobar-islands,2021,3,Apple,1283,0.0191544
162,andaman-&-nicobar-islands,2021,3,Tecno,1178,0.0175868
163,andaman-&-nicobar-islands,2021,3,Motorola,1017,0.0151832
164,andaman-&-nicobar-islands,2021,3,Others,4593,0.0685707
165,andaman-&-nicobar-islands,2021,4,Vivo,17597,0.245152
166,andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.236389
167,andaman-&-nicobar-islands,2021,4,Samsung,12574,0.175174
168,andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358
169,andaman-&-nicobar-islands,2021,4,Realme,5830,0.0812204
170,andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.0374896
171,andaman-&-nicobar-islands,2021,4,Apple,1490,0.0207579
172,andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020326
173,andaman-&-nicobar-islands,2021,4,Tecno,1417,0.0197409
174,andaman-&-nicobar-islands,2021,4,Motorola,1055,0.0146977
175,andaman-&-nicobar-islands,2021,4,Others,4572,0.0636946
176,andaman-&-nicobar-islands,2022,1,Vivo,18688,0.244966
177,andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.235384
178,andaman-&-nicobar-islands,2022,1,Samsung,12955,0.169817
179,andaman-&-nicobar-islands,2022,1,Realme,6769,0.0887296
180,andaman-&-nicobar-islands,2022,1,Oppo,6461,0.0846922
181,andaman-&-nicobar-islands,2022,1,OnePlus,3005,0.0393902
182,andaman-&-nicobar-islands,2022,1,Tecno,1770,0.0232016
183,andaman-&-nicobar-islands,2022,1,Apple,1634,0.0214188
184,andaman-&-nicobar-islands,2022,1,Huawei,1441,0.0188889
185,andaman-&-nicobar-islands,2022,1,Motorola,1050,0.0137636
186,andaman-&-nicobar-islands,2022,1,Others,4558,0.0597473
187,andhra-pradesh,2018,1,Xiaomi,836581,0.25074
188,andhra-pradesh,2018,1,Samsung,683687,0.204915
189,andhra-pradesh,2018,1,Vivo,425959,0.127668
190,andhra-pradesh,2018,1,Oppo,304487,0.0912608
191,andhra-pradesh,2018,1,Realme,236646,0.0709275
192,andhra-pradesh,2018,1,Motorola,129739,0.0388853
193,andhra-pradesh,2018,1,OnePlus,129421,0.03879
194,andhra-pradesh,2018,1,Apple,123274,0.0369477
195,andhra-pradesh,2018,1,Lenovo,84138,0.0252178
196,andhra-pradesh,2018,1,Huawei,76654,0.0229747
197,andhra-pradesh,2018,1,Others,305864,0.0916735
198,andhra-pradesh,2018,2,Xiaomi,1113800,0.25299
199,andhra-pradesh,2018,2,Samsung,903290,0.205175
200,andhra-pradesh,2018,2,Vivo,586965,0.133324
201,andhra-pradesh,2018,2,Oppo,410549,0.0932528
202,andhra-pradesh,2018,2,Realme,305964,0.0694972
203,andhra-pradesh,2018,2,Motorola,169847,0.0385793
204,andhra-pradesh,2018,2,OnePlus,155418,0.0353019
205,andhra-pradesh,2018,2,Apple,151847,0.0344908
206,andhra-pradesh,2018,2,Lenovo,107441,0.0244043
207,andhra-pradesh,2018,2,Huawei,102929,0.0233795
208,andhra-pradesh,2018,2,Others,394490,0.0896051
209,andhra-pradesh,2018,3,Xiaomi,1385112,0.255197
210,andhra-pradesh,2018,3,Samsung,1103186,0.203254
211,andhra-pradesh,2018,3,Vivo,761793,0.140355
212,andhra-pradesh,2018,3,Oppo,518120,0.0954599
213,andhra-pradesh,2018,3,Realme,379712,0.0699592
214,andhra-pradesh,2018,3,Motorola,203756,0.0375406
215,andhra-pradesh,2018,3,OnePlus,181364,0.033415
216,andhra-pradesh,2018,3,Apple,175343,0.0323057
217,andhra-pradesh,2018,3,Huawei,134429,0.0247676
218,andhra-pradesh,2018,3,Lenovo,122489,0.0225677
219,andhra-pradesh,2018,3,Others,462313,0.0851779
220,andhra-pradesh,2018,4,Xiaomi,1753802,0.255753
221,andhra-pradesh,2018,4,Samsung,1388061,0.202418
222,andhra-pradesh,2018,4,Vivo,1011185,0.147459
223,andhra-pradesh,2018,4,Oppo,675093,0.0984472
224,andhra-pradesh,2018,4,Realme,476746,0.0695228
225,andhra-pradesh,2018,4,Motorola,250601,0.0365446
226,andhra-pradesh,2018,4,OnePlus,210161,0.0306473
227,andhra-pradesh,2018,4,Apple,209737,0.0305855
228,andhra-pradesh,2018,4,Huawei,176237,0.0257002
229,andhra-pradesh,2018,4,Lenovo,149583,0.0218133
230,andhra-pradesh,2018,4,Others,556203,0.0811098
231,andhra-pradesh,2019,1,Xiaomi,2110547,0.254804
232,andhra-pradesh,2019,1,Samsung,1688342,0.203832
233,andhra-pradesh,2019,1,Vivo,1262871,0.152465
234,andhra-pradesh,2019,1,Oppo,835541,0.100874
235,andhra-pradesh,2019,1,Realme,564832,0.0681916
236,andhra-pradesh,2019,1,Motorola,291830,0.0352323
237,andhra-pradesh,2019,1,Apple,241108,0.0291087
238,andhra-pradesh,2019,1,OnePlus,237269,0.0286452
239,andhra-pradesh,2019,1,Huawei,220082,0.0265703
240,andhra-pradesh,2019,1,Lenovo,171471,0.0207015
241,andhra-pradesh,2019,1,Others,659126,0.0795756
242,andhra-pradesh,2019,2,Xiaomi,2389374,0.254486
243,andhra-pradesh,2019,2,Samsung,1914378,0.203896
244,andhra-pradesh,2019,2,Vivo,1466695,0.156214
245,andhra-pradesh,2019,2,Oppo,963352,0.102604
246,andhra-pradesh,2019,2,Realme,641519,0.0683266
247,andhra-pradesh,2019,2,Motorola,324778,0.0345913
248,andhra-pradesh,2019,2,Apple,264860,0.0282096
249,andhra-pradesh,2019,2,OnePlus,254273,0.027082
250,andhra-pradesh,2019,2,Huawei,250859,0.0267184
251,andhra-pradesh,2019,2,Lenovo,189151,0.020146
252,andhra-pradesh,2019,2,Others,729764,0.0777254
253,andhra-pradesh,2019,3,Xiaomi,2656468,0.253996
254,andhra-pradesh,2019,3,Samsung,2123659,0.203052
255,andhra-pradesh,2019,3,Vivo,1674109,0.160069
256,andhra-pradesh,2019,3,Oppo,1087660,0.103996
257,andhra-pradesh,2019,3,Realme,727964,0.0696037
258,andhra-pradesh,2019,3,Motorola,348910,0.0333608
259,andhra-pradesh,2019,3,Apple,286412,0.0273851
260,andhra-pradesh,2019,3,Huawei,282587,0.0270193
261,andhra-pradesh,2019,3,OnePlus,271100,0.025921
262,andhra-pradesh,2019,3,Lenovo,194180,0.0185664
263,andhra-pradesh,2019,3,Others,805644,0.077031
264,andhra-pradesh,2019,4,Xiaomi,2985953,0.253953
265,andhra-pradesh,2019,4,Samsung,2379139,0.202344
266,andhra-pradesh,2019,4,Vivo,1922141,0.163477
267,andhra-pradesh,2019,4,Oppo,1241235,0.105566
268,andhra-pradesh,2019,4,Realme,844668,0.0718384
269,andhra-pradesh,2019,4,Motorola,381692,0.0324626
270,andhra-pradesh,2019,4,Huawei,317290,0.0269853
271,andhra-pradesh,2019,4,Apple,308354,0.0262253
272,andhra-pradesh,2019,4,OnePlus,286412,0.0243591
273,andhra-pradesh,2019,4,Lenovo,208785,0.017757
274,andhra-pradesh,2019,4,Others,882214,0.0750317
275,andhra-pradesh,2020,1,Xiaomi,3307542,0.253995
276,andhra-pradesh,2020,1,Samsung,2622762,0.201409
277,andhra-pradesh,2020,1,Vivo,2165012,0.166257
278,andhra-pradesh,2020,1,Oppo,1387060,0.106516
279,andhra-pradesh,2020,1,Realme,960418,0.0737532
280,andhra-pradesh,2020,1,Motorola,411062,0.0315666
281,andhra-pradesh,2020,1,Huawei,348324,0.0267488
282,andhra-pradesh,2020,1,Apple,329329,0.0252901
283,andhra-pradesh,2020,1,OnePlus,298911,0.0229542
284,andhra-pradesh,2020,1,Lenovo,227154,0.0174438
285,andhra-pradesh,2020,1,Others,964486,0.0740655
286,andhra-pradesh,2020,2,Xiaomi,3635594,0.253888
287,andhra-pradesh,2020,2,Samsung,2888149,0.201691
288,andhra-pradesh,2020,2,Vivo,2409399,0.168258
289,andhra-pradesh,2020,2,Oppo,1535129,0.107204
290,andhra-pradesh,2020,2,Realme,1072165,0.0748736
291,andhra-pradesh,2020,2,Motorola,445380,0.0311027
292,andhra-pradesh,2020,2,Huawei,379220,0.0264824
