,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544930000.0
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842000.0
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243500.0
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137970.0
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.0
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682330000.0
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370092000.0
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300100.0
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869680.0
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440320.0
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510839000.0
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088310000.0
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232900.0
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089860.0
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449500.0
90,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438000.0
91,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514540000.0
92,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748100.0
93,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166300.0
94,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.0
95,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365000.0
96,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630000.0
97,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037000.0
98,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533990.0
99,andaman-&-nicobar-islands,2022,4,Others,3692,3107410.0
100,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892294000.0
101,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524300000.0
102,andhra-pradesh,2018,1,Merchant payments,362672,247298000.0
103,andhra-pradesh,2018,1,Financial Services,204305,44808400.0
104,andhra-pradesh,2018,1,Others,395514,287626000.0
105,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598590000.0
106,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451500000.0
107,andhra-pradesh,2018,2,Merchant payments,604847,436785000.0
108,andhra-pradesh,2018,2,Financial Services,225621,68952100.0
109,andhra-pradesh,2018,2,Others,322063,328092000.0
110,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738600000.0
111,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949100000.0
112,andhra-pradesh,2018,3,Merchant payments,1225416,685277000.0
113,andhra-pradesh,2018,3,Financial Services,380324,60790100.0
114,andhra-pradesh,2018,3,Others,348725,284249000.0
115,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011600000.0
116,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418160000.0
117,andhra-pradesh,2018,4,Merchant payments,2622131,1671590000.0
118,andhra-pradesh,2018,4,Financial Services,400837,57178100.0
119,andhra-pradesh,2018,4,Others,389411,315211000.0
120,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524300000.0
121,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480640000.0
122,andhra-pradesh,2019,1,Merchant payments,5043682,2423540000.0
123,andhra-pradesh,2019,1,Financial Services,416325,47150200.0
124,andhra-pradesh,2019,1,Others,361263,284938000.0
125,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103925000000.0
126,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708350000.0
127,andhra-pradesh,2019,2,Merchant payments,9226537,4613410000.0
128,andhra-pradesh,2019,2,Financial Services,145310,26626700.0
129,andhra-pradesh,2019,2,Others,448802,361492000.0
130,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124339000000.0
131,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893980000.0
132,andhra-pradesh,2019,3,Merchant payments,16581787,7887390000.0
133,andhra-pradesh,2019,3,Financial Services,122270,29778200.0
134,andhra-pradesh,2019,3,Others,413437,298142000.0
135,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178894000000.0
136,andhra-pradesh,2019,4,Merchant payments,25122370,13476300000.0
137,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335170000.0
138,andhra-pradesh,2019,4,Financial Services,105662,26796600.0
139,andhra-pradesh,2019,4,Others,338672,216497000.0
140,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223089000000.0
141,andhra-pradesh,2020,1,Merchant payments,31408022,18603200000.0
142,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813500000.0
143,andhra-pradesh,2020,1,Financial Services,75238,43739100.0
144,andhra-pradesh,2020,1,Others,292310,188229000.0
145,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262732000000.0
146,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991000000.0
147,andhra-pradesh,2020,2,Merchant payments,29976765,22625600000.0
148,andhra-pradesh,2020,2,Financial Services,140941,145275000.0
149,andhra-pradesh,2020,2,Others,176241,90087700.0
150,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406462000000.0
151,andhra-pradesh,2020,3,Merchant payments,54055557,40739600000.0
152,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475100000.0
153,andhra-pradesh,2020,3,Financial Services,243088,256075000.0
154,andhra-pradesh,2020,3,Others,312329,151583000.0
155,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639000000.0
156,andhra-pradesh,2020,4,Merchant payments,86581460,66654000000.0
157,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936300000.0
158,andhra-pradesh,2020,4,Financial Services,265470,305169000.0
159,andhra-pradesh,2020,4,Others,457527,306853000.0
160,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542000000.0
161,andhra-pradesh,2021,1,Merchant payments,97920281,70813200000.0
162,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546400000.0
163,andhra-pradesh,2021,1,Financial Services,225355,270313000.0
164,andhra-pradesh,2021,1,Others,347907,272546000.0
165,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004000000.0
166,andhra-pradesh,2021,2,Merchant payments,112875274,88512400000.0
167,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800000.0
168,andhra-pradesh,2021,2,Financial Services,243237,265483000.0
169,andhra-pradesh,2021,2,Others,406842,308302000.0
170,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841000000.0
171,andhra-pradesh,2021,3,Merchant payments,158290953,118164000000.0
172,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511300000.0
173,andhra-pradesh,2021,3,Financial Services,211171,297240000.0
174,andhra-pradesh,2021,3,Others,547759,403948000.0
175,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971270000000.0
176,andhra-pradesh,2021,4,Merchant payments,207538904,152884000000.0
177,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232800000.0
178,andhra-pradesh,2021,4,Financial Services,243951,332740000.0
179,andhra-pradesh,2021,4,Others,701856,545223000.0
180,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089630000000.0
181,andhra-pradesh,2022,1,Merchant payments,242031836,169420000000.0
182,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473000000.0
183,andhra-pradesh,2022,1,Financial Services,231651,324359000.0
184,andhra-pradesh,2022,1,Others,627694,474382000.0
185,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231410000000.0
186,andhra-pradesh,2022,2,Merchant payments,292530048,205434000000.0
187,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408500000.0
188,andhra-pradesh,2022,2,Financial Services,192751,245783000.0
189,andhra-pradesh,2022,2,Others,441925,357036000.0
190,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140160000000.0
191,andhra-pradesh,2022,3,Merchant payments,291033653,202911000000.0
192,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438800000.0
193,andhra-pradesh,2022,3,Financial Services,187190,239347000.0
194,andhra-pradesh,2022,3,Others,362484,323951000.0
195,andhra-pradesh,2022,4,Merchant payments,321632104,211899000000.0
196,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170250000000.0
197,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986800000.0
198,andhra-pradesh,2022,4,Financial Services,206459,250597000.0
199,andhra-pradesh,2022,4,Others,345658,339211000.0
200,arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184130.0
201,arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889700.0
202,arunachal-pradesh,2018,1,Merchant payments,1042,2420370.0
203,arunachal-pradesh,2018,1,Financial Services,416,58893.8
204,arunachal-pradesh,2018,1,Others,1990,1834250.0
205,arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468900.0
206,arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576000.0
207,arunachal-pradesh,2018,2,Merchant payments,2378,4718950.0
208,arunachal-pradesh,2018,2,Financial Services,559,363762.0
209,arunachal-pradesh,2018,2,Others,2043,1842320.0
210,arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997600.0
211,arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106000.0
212,arunachal-pradesh,2018,3,Merchant payments,4738,5505690.0
213,arunachal-pradesh,2018,3,Financial Services,507,72133.8
214,arunachal-pradesh,2018,3,Others,2039,2044710.0
215,arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662700.0
216,arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831000.0
217,arunachal-pradesh,2018,4,Merchant payments,7726,11999000.0
218,arunachal-pradesh,2018,4,Financial Services,561,100598.0
219,arunachal-pradesh,2018,4,Others,2222,2446270.0
220,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796900.0
221,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568555000.0
222,arunachal-pradesh,2019,1,Merchant payments,9214,11727200.0
223,arunachal-pradesh,2019,1,Financial Services,256,140623.0
224,arunachal-pradesh,2019,1,Others,2239,2730550.0
225,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420800.0
226,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704238000.0
227,arunachal-pradesh,2019,2,Merchant payments,16828,13955700.0
228,arunachal-pradesh,2019,2,Financial Services,267,160661.0
229,arunachal-pradesh,2019,2,Others,3046,3880740.0
230,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946100.0
231,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037000.0
232,arunachal-pradesh,2019,3,Merchant payments,16900,17178200.0
233,arunachal-pradesh,2019,3,Financial Services,864,64089.1
234,arunachal-pradesh,2019,3,Others,2758,3419200.0
235,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516900.0
236,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100140000.0
237,arunachal-pradesh,2019,4,Merchant payments,19769,23192300.0
238,arunachal-pradesh,2019,4,Financial Services,314,305380.0
239,arunachal-pradesh,2019,4,Others,2376,3421170.0
240,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011700.0
241,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263910000.0
242,arunachal-pradesh,2020,1,Merchant payments,31181,28553100.0
243,arunachal-pradesh,2020,1,Financial Services,470,337813.0
244,arunachal-pradesh,2020,1,Others,2261,2943870.0
245,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145199000.0
246,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630650000.0
247,arunachal-pradesh,2020,2,Merchant payments,35169,46447000.0
248,arunachal-pradesh,2020,2,Financial Services,1310,2655510.0
249,arunachal-pradesh,2020,2,Others,1939,1761400.0
250,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153464000.0
251,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361600000.0
252,arunachal-pradesh,2020,3,Merchant payments,72736,88145200.0
253,arunachal-pradesh,2020,3,Financial Services,1761,4030600.0
254,arunachal-pradesh,2020,3,Others,3005,2695540.0
255,arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254740000.0
256,arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389000.0
257,arunachal-pradesh,2020,4,Merchant payments,167387,156683000.0
258,arunachal-pradesh,2020,4,Financial Services,1749,2391650.0
259,arunachal-pradesh,2020,4,Others,4079,4055320.0
